mean_reward,episode,batch,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
21.9,10,1,False,,,1,21638_00008,36b2a8bec664438fb01099eb2fc2127f,2023-07-30_23-21-56,1690784516,5.856525897979736,5.856525897979736,1220,ip-10-0-1-173,10.0.1.173,5.856525897979736,0,1,0.19778776168823242
18.7,20,2,False,,,2,21638_00008,36b2a8bec664438fb01099eb2fc2127f,2023-07-30_23-22-02,1690784522,6.287009239196777,12.143535137176514,1220,ip-10-0-1-173,10.0.1.173,12.143535137176514,0,2,0.19778776168823242
18.4,30,3,False,,,3,21638_00008,36b2a8bec664438fb01099eb2fc2127f,2023-07-30_23-22-08,1690784528,6.431980133056641,18.575515270233154,1220,ip-10-0-1-173,10.0.1.173,18.575515270233154,0,3,0.19778776168823242
26.4,40,4,False,,,4,21638_00008,36b2a8bec664438fb01099eb2fc2127f,2023-07-30_23-22-16,1690784536,7.440497398376465,26.01601266860962,1220,ip-10-0-1-173,10.0.1.173,26.01601266860962,0,4,0.19778776168823242
17.7,50,5,False,,,5,21638_00008,36b2a8bec664438fb01099eb2fc2127f,2023-07-30_23-22-22,1690784542,6.1682140827178955,32.184226751327515,1220,ip-10-0-1-173,10.0.1.173,32.184226751327515,0,5,0.19778776168823242
23.4,60,6,False,,,6,21638_00008,36b2a8bec664438fb01099eb2fc2127f,2023-07-30_23-22-29,1690784549,6.530201196670532,38.71442794799805,1220,ip-10-0-1-173,10.0.1.173,38.71442794799805,0,6,0.19778776168823242
21.4,70,7,False,,,7,21638_00008,36b2a8bec664438fb01099eb2fc2127f,2023-07-30_23-22-34,1690784554,5.771709680557251,44.4861376285553,1220,ip-10-0-1-173,10.0.1.173,44.4861376285553,0,7,0.19778776168823242
29.4,80,8,False,,,8,21638_00008,36b2a8bec664438fb01099eb2fc2127f,2023-07-30_23-22-42,1690784562,7.760525941848755,52.24666357040405,1220,ip-10-0-1-173,10.0.1.173,52.24666357040405,0,8,0.19778776168823242
23.4,90,9,False,,,9,21638_00008,36b2a8bec664438fb01099eb2fc2127f,2023-07-30_23-22-49,1690784569,6.745786190032959,58.99244976043701,1220,ip-10-0-1-173,10.0.1.173,58.99244976043701,0,9,0.19778776168823242
19.5,100,10,False,,,10,21638_00008,36b2a8bec664438fb01099eb2fc2127f,2023-07-30_23-22-56,1690784576,7.236062049865723,66.22851181030273,1220,ip-10-0-1-173,10.0.1.173,66.22851181030273,0,10,0.19778776168823242
23.9,110,11,False,,,11,21638_00008,36b2a8bec664438fb01099eb2fc2127f,2023-07-30_23-23-03,1690784583,6.916306257247925,73.14481806755066,1220,ip-10-0-1-173,10.0.1.173,73.14481806755066,0,11,0.19778776168823242
22.6,120,12,False,,,12,21638_00008,36b2a8bec664438fb01099eb2fc2127f,2023-07-30_23-23-10,1690784590,6.813855409622192,79.95867347717285,1220,ip-10-0-1-173,10.0.1.173,79.95867347717285,0,12,0.19778776168823242
21.7,130,13,False,,,13,21638_00008,36b2a8bec664438fb01099eb2fc2127f,2023-07-30_23-23-16,1690784596,5.918229579925537,85.87690305709839,1220,ip-10-0-1-173,10.0.1.173,85.87690305709839,0,13,0.19778776168823242
24.3,140,14,False,,,14,21638_00008,36b2a8bec664438fb01099eb2fc2127f,2023-07-30_23-23-23,1690784603,7.225215911865234,93.10211896896362,1220,ip-10-0-1-173,10.0.1.173,93.10211896896362,0,14,0.19778776168823242
32.7,150,15,False,,,15,21638_00008,36b2a8bec664438fb01099eb2fc2127f,2023-07-30_23-23-33,1690784613,9.900227546691895,103.00234651565552,1220,ip-10-0-1-173,10.0.1.173,103.00234651565552,0,15,0.19778776168823242
30.6,160,16,False,,,16,21638_00008,36b2a8bec664438fb01099eb2fc2127f,2023-07-30_23-23-42,1690784622,8.86395263671875,111.86629915237427,1220,ip-10-0-1-173,10.0.1.173,111.86629915237427,0,16,0.19778776168823242
33.7,170,17,False,,,17,21638_00008,36b2a8bec664438fb01099eb2fc2127f,2023-07-30_23-23-52,1690784632,9.950552463531494,121.81685161590576,1220,ip-10-0-1-173,10.0.1.173,121.81685161590576,0,17,0.19778776168823242
23.9,180,18,False,,,18,21638_00008,36b2a8bec664438fb01099eb2fc2127f,2023-07-30_23-23-59,1690784639,7.165898561477661,128.98275017738342,1220,ip-10-0-1-173,10.0.1.173,128.98275017738342,0,18,0.19778776168823242
53.6,190,19,False,,,19,21638_00008,36b2a8bec664438fb01099eb2fc2127f,2023-07-30_23-24-16,1690784656,17.03994655609131,146.02269673347473,1220,ip-10-0-1-173,10.0.1.173,146.02269673347473,0,19,0.19778776168823242
34.4,200,20,False,,,20,21638_00008,36b2a8bec664438fb01099eb2fc2127f,2023-07-30_23-24-26,1690784666,10.20357894897461,156.22627568244934,1220,ip-10-0-1-173,10.0.1.173,156.22627568244934,0,20,0.19778776168823242
41.4,210,21,False,,,21,21638_00008,36b2a8bec664438fb01099eb2fc2127f,2023-07-30_23-24-38,1690784678,11.679399251937866,167.9056749343872,1220,ip-10-0-1-173,10.0.1.173,167.9056749343872,0,21,0.19778776168823242
46.9,220,22,False,,,22,21638_00008,36b2a8bec664438fb01099eb2fc2127f,2023-07-30_23-24-53,1690784693,15.03857684135437,182.94425177574158,1220,ip-10-0-1-173,10.0.1.173,182.94425177574158,0,22,0.19778776168823242
64.2,230,23,False,,,23,21638_00008,36b2a8bec664438fb01099eb2fc2127f,2023-07-30_23-25-12,1690784712,19.453072786331177,202.39732456207275,1220,ip-10-0-1-173,10.0.1.173,202.39732456207275,0,23,0.19778776168823242
73.8,240,24,False,,,24,21638_00008,36b2a8bec664438fb01099eb2fc2127f,2023-07-30_23-25-35,1690784735,22.921217918395996,225.31854248046875,1220,ip-10-0-1-173,10.0.1.173,225.31854248046875,0,24,0.19778776168823242
70.1,250,25,False,,,25,21638_00008,36b2a8bec664438fb01099eb2fc2127f,2023-07-30_23-25-57,1690784757,21.527826070785522,246.84636855125427,1220,ip-10-0-1-173,10.0.1.173,246.84636855125427,0,25,0.19778776168823242
