mean_reward,episode,batch,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
19.9,10,1,False,,,1,21638_00029,0074563ef29e4a2b8d7afe5feb94c56d,2023-07-31_03-58-57,1690801137,14.917731761932373,14.917731761932373,3374,ip-10-0-1-139,10.0.1.139,14.917731761932373,0,1,0.21193146705627441
24.0,20,2,False,,,2,21638_00029,0074563ef29e4a2b8d7afe5feb94c56d,2023-07-31_03-59-12,1690801152,15.302426099777222,30.220157861709595,3374,ip-10-0-1-139,10.0.1.139,30.220157861709595,0,2,0.21193146705627441
20.8,30,3,False,,,3,21638_00029,0074563ef29e4a2b8d7afe5feb94c56d,2023-07-31_03-59-29,1690801169,16.513902187347412,46.73406004905701,3374,ip-10-0-1-139,10.0.1.139,46.73406004905701,0,3,0.21193146705627441
24.7,40,4,False,,,4,21638_00029,0074563ef29e4a2b8d7afe5feb94c56d,2023-07-31_03-59-44,1690801184,14.801617860794067,61.535677909851074,3374,ip-10-0-1-139,10.0.1.139,61.535677909851074,0,4,0.21193146705627441
17.2,50,5,False,,,5,21638_00029,0074563ef29e4a2b8d7afe5feb94c56d,2023-07-31_03-59-57,1690801197,13.436319589614868,74.97199749946594,3374,ip-10-0-1-139,10.0.1.139,74.97199749946594,0,5,0.21193146705627441
23.9,60,6,False,,,6,21638_00029,0074563ef29e4a2b8d7afe5feb94c56d,2023-07-31_04-00-12,1690801212,14.877164840698242,89.84916234016418,3374,ip-10-0-1-139,10.0.1.139,89.84916234016418,0,6,0.21193146705627441
25.3,70,7,False,,,7,21638_00029,0074563ef29e4a2b8d7afe5feb94c56d,2023-07-31_04-00-27,1690801227,15.422621488571167,105.27178382873535,3374,ip-10-0-1-139,10.0.1.139,105.27178382873535,0,7,0.21193146705627441
27.9,80,8,False,,,8,21638_00029,0074563ef29e4a2b8d7afe5feb94c56d,2023-07-31_04-00-45,1690801245,18.009620189666748,123.2814040184021,3374,ip-10-0-1-139,10.0.1.139,123.2814040184021,0,8,0.21193146705627441
26.6,90,9,False,,,9,21638_00029,0074563ef29e4a2b8d7afe5feb94c56d,2023-07-31_04-01-02,1690801262,16.174895524978638,139.45629954338074,3374,ip-10-0-1-139,10.0.1.139,139.45629954338074,0,9,0.21193146705627441
21.1,100,10,False,,,10,21638_00029,0074563ef29e4a2b8d7afe5feb94c56d,2023-07-31_04-01-16,1690801276,14.185473680496216,153.64177322387695,3374,ip-10-0-1-139,10.0.1.139,153.64177322387695,0,10,0.21193146705627441
31.4,110,11,False,,,11,21638_00029,0074563ef29e4a2b8d7afe5feb94c56d,2023-07-31_04-01-34,1690801294,18.554033041000366,172.19580626487732,3374,ip-10-0-1-139,10.0.1.139,172.19580626487732,0,11,0.21193146705627441
24.9,120,12,False,,,12,21638_00029,0074563ef29e4a2b8d7afe5feb94c56d,2023-07-31_04-01-50,1690801310,16.012665033340454,188.20847129821777,3374,ip-10-0-1-139,10.0.1.139,188.20847129821777,0,12,0.21193146705627441
31.8,130,13,False,,,13,21638_00029,0074563ef29e4a2b8d7afe5feb94c56d,2023-07-31_04-02-11,1690801331,20.38457989692688,208.59305119514465,3374,ip-10-0-1-139,10.0.1.139,208.59305119514465,0,13,0.21193146705627441
38.7,140,14,False,,,14,21638_00029,0074563ef29e4a2b8d7afe5feb94c56d,2023-07-31_04-02-35,1690801355,23.891145944595337,232.48419713974,3374,ip-10-0-1-139,10.0.1.139,232.48419713974,0,14,0.21193146705627441
22.0,150,15,False,,,15,21638_00029,0074563ef29e4a2b8d7afe5feb94c56d,2023-07-31_04-02-49,1690801369,13.909617185592651,246.39381432533264,3374,ip-10-0-1-139,10.0.1.139,246.39381432533264,0,15,0.21193146705627441
52.1,160,16,False,,,16,21638_00029,0074563ef29e4a2b8d7afe5feb94c56d,2023-07-31_04-03-22,1690801402,33.4365599155426,279.83037424087524,3374,ip-10-0-1-139,10.0.1.139,279.83037424087524,0,16,0.21193146705627441
48.2,170,17,False,,,17,21638_00029,0074563ef29e4a2b8d7afe5feb94c56d,2023-07-31_04-03-53,1690801433,31.108870029449463,310.9392442703247,3374,ip-10-0-1-139,10.0.1.139,310.9392442703247,0,17,0.21193146705627441
52.5,180,18,False,,,18,21638_00029,0074563ef29e4a2b8d7afe5feb94c56d,2023-07-31_04-04-25,1690801465,31.753807544708252,342.69305181503296,3374,ip-10-0-1-139,10.0.1.139,342.69305181503296,0,18,0.21193146705627441
51.0,190,19,False,,,19,21638_00029,0074563ef29e4a2b8d7afe5feb94c56d,2023-07-31_04-04-57,1690801497,31.801363706588745,374.4944155216217,3374,ip-10-0-1-139,10.0.1.139,374.4944155216217,0,19,0.21193146705627441
43.5,200,20,False,,,20,21638_00029,0074563ef29e4a2b8d7afe5feb94c56d,2023-07-31_04-05-30,1690801530,33.71781325340271,408.2122287750244,3374,ip-10-0-1-139,10.0.1.139,408.2122287750244,0,20,0.21193146705627441
78.0,210,21,False,,,21,21638_00029,0074563ef29e4a2b8d7afe5feb94c56d,2023-07-31_04-06-19,1690801579,48.29835915565491,456.5105879306793,3374,ip-10-0-1-139,10.0.1.139,456.5105879306793,0,21,0.21193146705627441
63.1,220,22,False,,,22,21638_00029,0074563ef29e4a2b8d7afe5feb94c56d,2023-07-31_04-06-58,1690801618,39.151068449020386,495.6616563796997,3374,ip-10-0-1-139,10.0.1.139,495.6616563796997,0,22,0.21193146705627441
53.4,230,23,False,,,23,21638_00029,0074563ef29e4a2b8d7afe5feb94c56d,2023-07-31_04-07-33,1690801653,35.01153230667114,530.6731886863708,3374,ip-10-0-1-139,10.0.1.139,530.6731886863708,0,23,0.21193146705627441
57.2,240,24,False,,,24,21638_00029,0074563ef29e4a2b8d7afe5feb94c56d,2023-07-31_04-08-11,1690801691,37.55458736419678,568.2277760505676,3374,ip-10-0-1-139,10.0.1.139,568.2277760505676,0,24,0.21193146705627441
65.2,250,25,False,,,25,21638_00029,0074563ef29e4a2b8d7afe5feb94c56d,2023-07-31_04-08-55,1690801735,44.814231157302856,613.0420072078705,3374,ip-10-0-1-139,10.0.1.139,613.0420072078705,0,25,0.21193146705627441
59.8,260,26,False,,,26,21638_00029,0074563ef29e4a2b8d7afe5feb94c56d,2023-07-31_04-09-35,1690801775,39.572423696517944,652.6144309043884,3374,ip-10-0-1-139,10.0.1.139,652.6144309043884,0,26,0.21193146705627441
80.4,270,27,False,,,27,21638_00029,0074563ef29e4a2b8d7afe5feb94c56d,2023-07-31_04-10-26,1690801826,50.704102754592896,703.3185336589813,3374,ip-10-0-1-139,10.0.1.139,703.3185336589813,0,27,0.21193146705627441
89.7,280,28,False,,,28,21638_00029,0074563ef29e4a2b8d7afe5feb94c56d,2023-07-31_04-11-22,1690801882,56.85046076774597,760.1689944267273,3374,ip-10-0-1-139,10.0.1.139,760.1689944267273,0,28,0.21193146705627441
90.4,290,29,False,,,29,21638_00029,0074563ef29e4a2b8d7afe5feb94c56d,2023-07-31_04-12-19,1690801939,56.12994956970215,816.2989439964294,3374,ip-10-0-1-139,10.0.1.139,816.2989439964294,0,29,0.21193146705627441
75.5,300,30,False,,,30,21638_00029,0074563ef29e4a2b8d7afe5feb94c56d,2023-07-31_04-13-12,1690801992,53.03769063949585,869.3366346359253,3374,ip-10-0-1-139,10.0.1.139,869.3366346359253,0,30,0.21193146705627441
99.1,310,31,False,,,31,21638_00029,0074563ef29e4a2b8d7afe5feb94c56d,2023-07-31_04-14-20,1690802060,65.7244508266449,935.0610854625702,3374,ip-10-0-1-139,10.0.1.139,935.0610854625702,0,31,0.21193146705627441
