mean_reward,episode,batch,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
20.8,10,1,False,,,1,ec717_00029,70c43cb66b1d47ce85121f28a382e861,2023-07-30_13-36-17,1690749377,15.635504484176636,15.635504484176636,3249,ip-10-0-1-198,10.0.1.198,15.635504484176636,0,1,0.207747220993042
15.3,20,2,False,,,2,ec717_00029,70c43cb66b1d47ce85121f28a382e861,2023-07-30_13-36-28,1690749388,11.339176177978516,26.97468066215515,3249,ip-10-0-1-198,10.0.1.198,26.97468066215515,0,2,0.207747220993042
27.2,30,3,False,,,3,ec717_00029,70c43cb66b1d47ce85121f28a382e861,2023-07-30_13-36-44,1690749404,15.534494876861572,42.509175539016724,3249,ip-10-0-1-198,10.0.1.198,42.509175539016724,0,3,0.207747220993042
24.3,40,4,False,,,4,ec717_00029,70c43cb66b1d47ce85121f28a382e861,2023-07-30_13-36-58,1690749418,13.799638509750366,56.30881404876709,3249,ip-10-0-1-198,10.0.1.198,56.30881404876709,0,4,0.207747220993042
22.7,50,5,False,,,5,ec717_00029,70c43cb66b1d47ce85121f28a382e861,2023-07-30_13-37-10,1690749430,12.845247507095337,69.15406155586243,3249,ip-10-0-1-198,10.0.1.198,69.15406155586243,0,5,0.207747220993042
27.4,60,6,False,,,6,ec717_00029,70c43cb66b1d47ce85121f28a382e861,2023-07-30_13-37-26,1690749446,15.655032396316528,84.80909395217896,3249,ip-10-0-1-198,10.0.1.198,84.80909395217896,0,6,0.207747220993042
18.9,70,7,False,,,7,ec717_00029,70c43cb66b1d47ce85121f28a382e861,2023-07-30_13-37-41,1690749461,14.455223560333252,99.2643175125122,3249,ip-10-0-1-198,10.0.1.198,99.2643175125122,0,7,0.207747220993042
17.9,80,8,False,,,8,ec717_00029,70c43cb66b1d47ce85121f28a382e861,2023-07-30_13-37-54,1690749474,13.229607582092285,112.49392509460449,3249,ip-10-0-1-198,10.0.1.198,112.49392509460449,0,8,0.207747220993042
24.1,90,9,False,,,9,ec717_00029,70c43cb66b1d47ce85121f28a382e861,2023-07-30_13-38-08,1690749488,14.549896717071533,127.04382181167603,3249,ip-10-0-1-198,10.0.1.198,127.04382181167603,0,9,0.207747220993042
25.4,100,10,False,,,10,ec717_00029,70c43cb66b1d47ce85121f28a382e861,2023-07-30_13-38-23,1690749503,14.76204776763916,141.80586957931519,3249,ip-10-0-1-198,10.0.1.198,141.80586957931519,0,10,0.207747220993042
24.4,110,11,False,,,11,ec717_00029,70c43cb66b1d47ce85121f28a382e861,2023-07-30_13-38-38,1690749518,14.742026329040527,156.5478959083557,3249,ip-10-0-1-198,10.0.1.198,156.5478959083557,0,11,0.207747220993042
23.6,120,12,False,,,12,ec717_00029,70c43cb66b1d47ce85121f28a382e861,2023-07-30_13-38-52,1690749532,14.122956037521362,170.67085194587708,3249,ip-10-0-1-198,10.0.1.198,170.67085194587708,0,12,0.207747220993042
33.6,130,13,False,,,13,ec717_00029,70c43cb66b1d47ce85121f28a382e861,2023-07-30_13-42-05,1690749725,19.390767574310303,190.06161952018738,3249,ip-10-0-1-198,10.0.1.198,190.06161952018738,0,13,0.207747220993042
23.3,140,14,False,,,14,ec717_00029,70c43cb66b1d47ce85121f28a382e861,2023-07-30_13-42-20,1690749740,14.297792673110962,204.35941219329834,3249,ip-10-0-1-198,10.0.1.198,204.35941219329834,0,14,0.207747220993042
34.9,150,15,False,,,15,ec717_00029,70c43cb66b1d47ce85121f28a382e861,2023-07-30_13-42-42,1690749762,22.0174663066864,226.37687849998474,3249,ip-10-0-1-198,10.0.1.198,226.37687849998474,0,15,0.207747220993042
23.6,160,16,False,,,16,ec717_00029,70c43cb66b1d47ce85121f28a382e861,2023-07-30_13-42-57,1690749777,15.067179441452026,241.44405794143677,3249,ip-10-0-1-198,10.0.1.198,241.44405794143677,0,16,0.207747220993042
26.1,170,17,False,,,17,ec717_00029,70c43cb66b1d47ce85121f28a382e861,2023-07-30_13-43-14,1690749794,17.3087739944458,258.75283193588257,3249,ip-10-0-1-198,10.0.1.198,258.75283193588257,0,17,0.207747220993042
33.0,180,18,False,,,18,ec717_00029,70c43cb66b1d47ce85121f28a382e861,2023-07-30_13-43-35,1690749815,20.770984649658203,279.52381658554077,3249,ip-10-0-1-198,10.0.1.198,279.52381658554077,0,18,0.207747220993042
25.1,190,19,False,,,19,ec717_00029,70c43cb66b1d47ce85121f28a382e861,2023-07-30_13-43-50,1690749830,15.0918288230896,294.61564540863037,3249,ip-10-0-1-198,10.0.1.198,294.61564540863037,0,19,0.207747220993042
24.5,200,20,False,,,20,ec717_00029,70c43cb66b1d47ce85121f28a382e861,2023-07-30_13-44-05,1690749845,15.294097661972046,309.9097430706024,3249,ip-10-0-1-198,10.0.1.198,309.9097430706024,0,20,0.207747220993042
39.0,210,21,False,,,21,ec717_00029,70c43cb66b1d47ce85121f28a382e861,2023-07-30_13-44-28,1690749868,23.224432468414307,333.1341755390167,3249,ip-10-0-1-198,10.0.1.198,333.1341755390167,0,21,0.207747220993042
39.5,220,22,False,,,22,ec717_00029,70c43cb66b1d47ce85121f28a382e861,2023-07-30_13-44-54,1690749894,25.58605146408081,358.72022700309753,3249,ip-10-0-1-198,10.0.1.198,358.72022700309753,0,22,0.207747220993042
27.7,230,23,False,,,23,ec717_00029,70c43cb66b1d47ce85121f28a382e861,2023-07-30_13-45-11,1690749911,17.11572766304016,375.8359546661377,3249,ip-10-0-1-198,10.0.1.198,375.8359546661377,0,23,0.207747220993042
28.5,240,24,False,,,24,ec717_00029,70c43cb66b1d47ce85121f28a382e861,2023-07-30_13-45-30,1690749930,18.375847339630127,394.2118020057678,3249,ip-10-0-1-198,10.0.1.198,394.2118020057678,0,24,0.207747220993042
41.8,250,25,False,,,25,ec717_00029,70c43cb66b1d47ce85121f28a382e861,2023-07-30_13-45-55,1690749955,25.329274654388428,419.54107666015625,3249,ip-10-0-1-198,10.0.1.198,419.54107666015625,0,25,0.207747220993042
44.3,260,26,False,,,26,ec717_00029,70c43cb66b1d47ce85121f28a382e861,2023-07-30_13-46-21,1690749981,26.507620334625244,446.0486969947815,3249,ip-10-0-1-198,10.0.1.198,446.0486969947815,0,26,0.207747220993042
47.3,270,27,False,,,27,ec717_00029,70c43cb66b1d47ce85121f28a382e861,2023-07-30_13-46-52,1690750012,30.430168628692627,476.4788656234741,3249,ip-10-0-1-198,10.0.1.198,476.4788656234741,0,27,0.207747220993042
56.1,280,28,False,,,28,ec717_00029,70c43cb66b1d47ce85121f28a382e861,2023-07-30_13-47-27,1690750047,35.46789598464966,511.9467616081238,3249,ip-10-0-1-198,10.0.1.198,511.9467616081238,0,28,0.207747220993042
45.7,290,29,False,,,29,ec717_00029,70c43cb66b1d47ce85121f28a382e861,2023-07-30_13-47-58,1690750078,30.37313985824585,542.3199014663696,3249,ip-10-0-1-198,10.0.1.198,542.3199014663696,0,29,0.207747220993042
