mean_reward,episode,batch,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
17.3,10,1,False,,,1,ec717_00020,264067b3c2bf4eeaa982168d36c073e2,2023-07-30_09-30-33,1690734633,6.194744825363159,6.194744825363159,1219,ip-10-0-1-249,10.0.1.249,6.194744825363159,0,1,0.20000481605529785
17.3,20,2,False,,,2,ec717_00020,264067b3c2bf4eeaa982168d36c073e2,2023-07-30_09-30-39,1690734639,6.50316047668457,12.69790530204773,1219,ip-10-0-1-249,10.0.1.249,12.69790530204773,0,2,0.20000481605529785
23.4,30,3,False,,,3,ec717_00020,264067b3c2bf4eeaa982168d36c073e2,2023-07-30_09-30-46,1690734646,6.6969568729400635,19.394862174987793,1219,ip-10-0-1-249,10.0.1.249,19.394862174987793,0,3,0.20000481605529785
19.7,40,4,False,,,4,ec717_00020,264067b3c2bf4eeaa982168d36c073e2,2023-07-30_09-30-53,1690734653,7.248784780502319,26.643646955490112,1219,ip-10-0-1-249,10.0.1.249,26.643646955490112,0,4,0.20000481605529785
28.5,50,5,False,,,5,ec717_00020,264067b3c2bf4eeaa982168d36c073e2,2023-07-30_09-31-02,1690734662,9.086619138717651,35.730266094207764,1219,ip-10-0-1-249,10.0.1.249,35.730266094207764,0,5,0.20000481605529785
24.1,60,6,False,,,6,ec717_00020,264067b3c2bf4eeaa982168d36c073e2,2023-07-30_09-31-09,1690734669,7.054696798324585,42.78496289253235,1219,ip-10-0-1-249,10.0.1.249,42.78496289253235,0,6,0.20000481605529785
19.5,70,7,False,,,7,ec717_00020,264067b3c2bf4eeaa982168d36c073e2,2023-07-30_09-31-17,1690734677,7.3884241580963135,50.17338705062866,1219,ip-10-0-1-249,10.0.1.249,50.17338705062866,0,7,0.20000481605529785
24.4,80,8,False,,,8,ec717_00020,264067b3c2bf4eeaa982168d36c073e2,2023-07-30_09-31-24,1690734684,7.5223915576934814,57.695778608322144,1219,ip-10-0-1-249,10.0.1.249,57.695778608322144,0,8,0.20000481605529785
21.0,90,9,False,,,9,ec717_00020,264067b3c2bf4eeaa982168d36c073e2,2023-07-30_09-31-31,1690734691,6.525503873825073,64.22128248214722,1219,ip-10-0-1-249,10.0.1.249,64.22128248214722,0,9,0.20000481605529785
24.0,100,10,False,,,10,ec717_00020,264067b3c2bf4eeaa982168d36c073e2,2023-07-30_09-31-38,1690734698,7.47238564491272,71.69366812705994,1219,ip-10-0-1-249,10.0.1.249,71.69366812705994,0,10,0.20000481605529785
